"","geneID","Symbol","H1","H2","H3","H4","CM1","CM2","CM3","CM4","CS1","CS2","CS3","CS4","CI1","CI2","CI3","CI4"
"LMBR1L","LMBR1L","LMBR1L",16.9355452562713,58.283699434862,367.102071303724,16.9764223292099,112.930661002308,38.7603135663316,19.8013470180493,16.2313757674876,43.9137621295423,45.8551544227899,52.6240726315568,38.2246314696714,14.41567113657,23.9604282803675,33.3054995682239,26.3787628159815
"TUBA1B","TUBA1B","TUBA1B",186.290997818984,168.715972048285,5102.4724138927,1951.28995478095,1535.62414290768,1535.87742506589,2098.94278391322,2958.65517489765,2622.95714341321,4526.01292046847,1786.90532342319,7622.58722359486,308.495362322599,2050.45972783915,2691.08436511249,971.426613266797
"TUBA1A","TUBA1A","TUBA1A",574.505804462741,477.006066427423,1712.32174198717,433.398075933947,663.031045781593,319.772586922236,679.433719556816,818.061338681377,595.802934838656,890.354248375838,282.203818068129,1105.03934612323,841.87519437569,539.10963630827,407.437278051272,1416.42487294509
"TUBA1C","TUBA1C","TUBA1C",230.583962335386,308.290094379139,709.566419701158,317.558958864044,231.682490097519,365.315955362675,1051.94656033387,601.859413458442,801.129444255164,577.01069315344,336.56275023699,2320.28477258759,1176.31876474412,533.580306705108,1606.43526250733,1349.90451453957
"TROAP","TROAP","TROAP",5.21093700192962,0,0,0,1.1642336185805,0,6.80671303745444,0.649255030699506,3.56057530780073,3.82126286856583,0.57828651243469,0.496423785320408,0,18.4310986772058,28.8647662924607,1.14690273112963
"DNAJC22","DNAJC22","DNAJC22",0,0,0,0,0,0,0,0,0,0,0,65.5279396622938,0,0,0,0
"SPATS2","SPATS2","SPATS2",13.0273425048241,1.53378156407532,14.7826337437741,2.99583923456645,10.4781025672245,2.90702351747487,9.2818814147106,4.54478521489654,5.93429217966789,4.36715756407523,7.51772466165097,9.43205192108775,8.64940268194202,3.68621973544116,1.1101833189408,8.02831911790741
"KCNH3","KCNH3","KCNH3",6.51367125241203,1.53378156407532,4.92754458125804,0.998613078188818,0,0,4.95033675451232,0,11.8685843593358,0.545894695509404,2.89143256217345,2.48211892660204,0,0.92155493386029,2.22036663788159,8.02831911790741
"MCRS1","MCRS1","MCRS1",16.9355452562713,30.6756312815063,12.3188614531451,15.9778092510211,20.3740883251587,21.3181724614824,15.469802357851,22.0746710437832,16.6160181030701,8.18842043264106,19.6617414227795,30.7782746898653,8.64940268194202,15.6664338756249,22.2036663788159,6.88141638677778
"FAM186B","FAM186B","FAM186B",0,0,0,0.998613078188818,1.74635042787075,0,0,1.94776509209852,0,1.09178939101881,0,0,0,0,1.1101833189408,0
"FMNL3","FMNL3","FMNL3",7.81640550289444,10.7364709485272,32.0290397781773,14.9791961728323,19.2098547065782,14.5351175873744,10.5194656033387,9.08957042979308,13.0554427952693,12.5555779967163,23.1314604973876,7.94278056512653,23.0650738185121,3.68621973544116,2.22036663788159,21.791151891463
"TMBIM6","TMBIM6","TMBIM6",1116.44325266342,838.978515549198,490.290685835175,708.016672435872,700.868638385459,1031.99334870358,670.770630236419,923.240653654697,517.47027806704,663.262055043926,586.96081012121,773.924681314516,671.770274964164,970.397345354885,1185.67578462877,810.860230908649
"NCKAP5L","NCKAP5L","NCKAP5L",48.201167267849,19.9391603329791,12.3188614531451,11.9833569382658,18.0456210879977,17.4421411048492,14.851010263537,22.0746710437832,15.4291596671365,29.4783135575078,19.0834549103448,7.44635677980612,46.1301476370241,28.568202949669,12.2120165083487,34.4070819338889
